fdw,dataset,run,execution_time
jdbc,jdbc_sf0001_lineitem,1,1.37774
jdbc,jdbc_sf0001_lineitem,2,1.37871
jdbc,jdbc_sf0001_lineitem,3,1.39777
jdbc,jdbc_sf0001_lineitem,4,1.37359
jdbc,jdbc_sf0001_lineitem,5,1.34288
jdbc,jdbc_sf0001_lineitem,6,1.38054
jdbc,jdbc_sf0001_lineitem,7,1.38259
jdbc,jdbc_sf0001_lineitem,8,1.37224
jdbc,jdbc_sf0001_lineitem,9,1.3681
jdbc,jdbc_sf0001_lineitem,10,1.39388
jdbc,jdbc_sf1_lineitem,1,351.86
jdbc,jdbc_sf1_lineitem,2,349.368
jdbc,jdbc_sf1_lineitem,3,337.049
jdbc,jdbc_sf1_lineitem,4,337.572
jdbc,jdbc_sf1_lineitem,5,341.415
jdbc,jdbc_sf1_lineitem,6,338.148
jdbc,jdbc_sf1_lineitem,7,337.489
jdbc,jdbc_sf1_lineitem,8,347.15
jdbc,jdbc_sf1_lineitem,9,340.748
jdbc,jdbc_sf1_lineitem,10,338.441
